Business Type,Business Name,Location Address Line 1,Location Address Line 2,Location City,Location State,Location Zip,Location County,VoicePhone,EmailAddress,RPLastName,RPFirstName,RPMiddleName,RPSuffix,RPEmail,Dispenses Naloxone,CredentialStatus,CredentialStatusReason,License Number,Subcategory Code,Location Address Line 3,LocationLat,LocationLong,MailingAddressLine1,MailingAddressLine2,MailingAddressLine3,MailingCity,MailingState,MailingZip,FaxPhone,License Prefix,Ohio Drug Category,Business Type,PracticeTypeDescription,DateofFirstLicensure,EffectiveDate,ExpirationDate,LegalFiles,RPCredentialTypePrefix,FacilityID,StateID,Abbreviation,MedicareID,MedicaidID,ClosedDate,LicensedBedTotal,OpenDate,BedEffectiveDate,CertifiedBedTotal,SortOrder,HC_Name,HC_Phone,HC_Email,MD_Name,MD_Phone,MD_Email,AD_Name,AD_Phone,AD_Email,EHD_Name,EHD_Phone,EHD_Email,ND_Name,ND_Phone,ND_Email,VS_Name,VS_Phone,VS_Email,FO_Name,FO_Phone,FO_Email,PIO_Name,PIO_Phone,PIO_Email,EPI_Name,EPI_Phone,EPI_Email,ERC_Name,ERC_Phone,ERC_Email,AHC_Name,AHC_Phone,AHC_Email,DHC_Name,DHC_Phone,DHC_Email,DR_Name,DR_Phone,DR_Email,AC_Name,AC_Phone,AC_Email,HE_Name,HE_Phone,HE_Email,Population,LHDId,Business Type Category  ,Hospital Type ,NATCEP Type ,LHDType,LHDCountyCity,LHDStatus,LHDDistrict,ContractingWith,Website,BusinessTypeCategoryDesc,HospitalTypeDesc,NATCEPTypeDesc,Data Source,CombinedWith,LHDIdOld,Active Facility
Surgery,"JOURNEY LITE OF CINCINNATI, LLC",10475 Reading Rd Ste 115, STE 115,Cincinnati,OH,45241,Hamilton,(513) 259-2488,lsprong@journeylite.com,CURRY,TRACE,W.,MD,,FALSE,Active,,21806000,,,39.256021,-84.421568,10475 READING ROAD, STE 115,,CINCINNATI,OH,45241,JourneyLite of CInci,CL,Clinic - Category 3,AS ,Company,4/9/08,4/1/19,3/31/21,No,,,,,,,,,,,,1012952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,Ambulatory Surgical Facility (ASF/ASP),,,PharmacyBoard,,,TRUE
MedicalFacility,THE LITTLE CLINIC OF OHIO LLC,10477 Harrison Ave,,Harrison,OH,45030,Hamilton,(615) 425-4228,bstewart@thelittleclinic.com,Keller,Andrea,,,andrea.keller@thelittleclinic.com,FALSE,Active,,21949700,,,39.250444,-84.790812,2620 ELM HILL PIKE,,,NASHVILLE,TN,37214,(513) 202-8284,CL,Clinic - Category 2,CL ,Limited Liability Company,3/10/09,4/1/19,3/31/21,No,,,,,,,,,,,,1025556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,Clinic,,,PharmacyBoard,,,TRUE
MedicalFacility,"TriHealth G, LLC",10496 Montgomery Rd,,Cincinnati,OH,45242,Hamilton,(513) 865-2239,matthew_broderick@trihealth.com,Broderick,Matthew,Cullen,,broderickmc@gmail.com,FALSE,Active,,260000070,,,39.25151,-84.343906,10496 Montgomery Rd,,,Cincinnati,OH,45242-5223,(513) 852-7437,CL,Clinic - Category 2,CL ,Limited Liability Company,6/19/18,4/1/19,3/31/21,No,,,,,,,,,,,,1026280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,Clinic,,,PharmacyBoard,,,TRUE
HospitalsGeneral,SELECT SPECIALTY HOSPITAL - CINCINNATI NORTH,10500 Montgomery Rd,,Cincinnati,OH,45242,Hamilton,(513) 865-5318,dkurtzman@selectmedical.com,KURTZMAN,DAVID,ROLAND,PharmD,david.kurtzman@gmail.com,FALSE,Active,,22839950,,,39.252084,-84.343781,LEGAL DEPT/4714 GETTYSBURG ROAD,,,MECHANICSBURG,PA,17055,,PMY,Pharmacy - Category 3,HS ,Individual,1/2/18,4/1/19,3/31/21,No,,,,,,,,,,,,1023306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Hospital,,,PharmacyBoard,,,TRUE
HospitalsGeneral,"BETHESDA HOSPITAL, INC",10500 MONTGOMERY ROAD,,CINCINNATI,OH,45242,HAMILTON,(513)865-5544,london_quicci@trihealth.com,,,,,,FALSE,ACTIVE,,OH02362,,,39.251764,-84.343847,,,,,,,(513) 865-1441,,,11,,,,,,,OH02362,1024AHR,HOSP-ACU,360179,684504,,,,,,2002712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,Hospital,,,OHAL,,,TRUE
UrgentCare,HOMETOWN URGENT CARE,10575 Springfield Pike,,Cincinnati,OH,45215,Hamilton,(614) 505-7633,cfiglestahler@hometownurgentcare.com,SAINI,NARINDER,KUMAR,MD,,FALSE,Active,,22473350,,,39.258095,-84.46987,2400 Corporate Exchange Drive Suite 102,,,COLUMBUS,OH,43231-7605,(614) 847-1106,CL,Clinic - Category 3,UR ,Limited Liability Company,1/30/15,4/1/19,3/31/21,No,,,,,,,,,,,,1011987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,Urgent Care,,,PharmacyBoard,,,TRUE
UrgentCare,Carefirst Urgent Care Loveland,10582 Loveland Madeira Rd,,Loveland,OH,45140,Hamilton,(513) 847-6778,beechmonturgentcare@gmail.com,Gupta,Chetan,,,cgupta8@gmail.com,FALSE,Active,,262000114,,,39.251639,-84.296248,10582 Loveland Madeira Rd,,,Loveland,OH,45140-8962,(513) 847-6791,CL,Clinic - Category 3,UR ,Corporation,10/15/18,4/1/19,3/31/21,No,,,,,,,,,,,,1003823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,Urgent Care,,,PharmacyBoard,,,TRUE
Surgery,"ENDOSCOPY CENTER NORTH, LLC",10600 MONTGOMERY ROAD,,CINCINNATI,OH,45242,HAMILTON,(513)794-5680,valentina_dedman@trihealth.com,,,,,,FALSE,ACTIVE,,OH03172,,,39.254873,-84.343247,,,,,,,(513) 791-6018,,,151,,,,,,,OH03172,0621AS,ASC,36C0001147,,,,9/27/00,,,2008606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,Ambulatory Surgical Facility (ASF/ASP),,,OHAL,,,TRUE
Surgery,"TRIHEALTH HOSPITAL, INC",10600 MONTGOMERY ROAD SUITE 101,,CINCINNATI,OH,45242,HAMILTON,(513)454-2222,kelvin_hanger@trihealth.com,,,,,,FALSE,ACTIVE,,OHL499896,,,39.254833,-84.343292,,,,,,,(513) 454-2500,,,L61,,,,,,,OHL499896,0621AS,SL-AS,,93233,,5,8/10/00,2/20/07,0,2026300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,Ambulatory Surgical Facility (ASF/ASP),,,OHAL,,,TRUE
MedicalFacility,"Occupational Health Centers of Ohio, P.A.",10600 Springfield Pike,,Cincinnati,OH,45215,Hamilton,(717) 972-1100,cassagreen@selectmedical.com,Cobb,Janet,White,,janet_cobb@concentra.com,FALSE,Active,,260000472,,,39.263556,-84.469062,4714 GETTYSBURG ROAD ATTN: LEGAL DEPT-CONCENTRA LICENSING,,,MECHANICSBURG,PA,17055,(513) 612-5986,CL,Clinic - Category 2,CL ,Corporation,4/23/19,4/23/19,3/31/21,No,,,,,,,,,,,,1018475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,Clinic,,,PharmacyBoard,,,TRUE
MedicalFacility,OHIO VALLEY GOODWILL IND REHAB CNTR MEDICAL DIRECTOR,10600 Springfield Pike,,Cincinnati,OH,45215,Hamilton,(513) 771-4800,theresaclifton@cincigoodwill.org,COBB,JANET,WHITE,,,FALSE,Active,,20060850,,,39.263556,-84.469062,10600 SPRINGFIELD PIKE,,,CINCINNATI,OH,45215,,FCY,Facility - LIMITED Category 2,FA ,Company,9/17/62,4/1/19,3/31/21,No,,,,,,,,,,,,1018853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,First Aid Dept,,,PharmacyBoard,,,TRUE
MedicalFacility,"EYE CARE ASSOCIATES OF GREATER CINCINNATI, INC.",10615 Montgomery Rd Ste 202,,Montgomery,OH,45242,Hamilton,(513) 561-5655,matt.walsh@apexeye.com,BENZA,ROBERT,,MD,,FALSE,Active,,21920250,,,39.255228,-84.343693,10615 Montgomery Rd Ste 202,,,Montgomery,OH,45242-4460,(513) 561-2319,CL,Clinic - Category 2,CL ,Corporation,12/2/08,8/26/19,3/31/21,No,,,,,,,,,,,,1008876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,Clinic,,,PharmacyBoard,,,TRUE
Surgery,BETHESDA OUTPATIENT SURGERY CENTER BETHESDA NORTH HOSPITAL,10615 Montgomery Rd Ste 300,,Cincinnati,OH,45242,Hamilton,513-346-6900,steve_shepherd@trihealth.com,Tuttle,Ann,A.,,ann.tuttle.k@gmail.com,FALSE,Active,,22229400,,,39.255228,-84.343693,10500 MONTGOMERY ROAD,,,CINCINNATI,OH,45242,513-745-5555,CL,Clinic - Category 3,AS ,Corporation,6/26/12,4/1/19,3/31/21,No,,,,,,,,,,,,1002722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,Ambulatory Surgical Facility (ASF/ASP),,,PharmacyBoard,,,TRUE
PainManagement,BLATMAN HEALTH AND WELLNESS CENTER,10653 Techwoods Cir Ste 101, STE 101,Blue Ash,OH,45242,Hamilton,(513) 956-3200,drb@blatmanhealthandwellness.com,BLATMAN,HAL,S.,MD,,FALSE,Active,,21642700,,,39.256779,-84.377837,10653 TECHWOODS CIRCLE, STE 101,,CINCINNATI,OH,45242,(513) 956-3202,STP,Pain Management Clinic - Category 3,GPMC ,Corporation,11/23/16,4/10/19,3/31/21,No,,,,,,,,,,,,1002920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,Grandfathered Pain Management Clinic,,,PharmacyBoard,,,TRUE
PhysicalTherapy,BETHESDA HAND REHABILITATION,10700 Montgomery Rd Ste 130, SUITE 130,Cincinnati,OH,45242,Hamilton,513-247-0224,steve_shepherd@trihealth.com,SHEPHERD,STEVEN,THOMAS,RPH,steve_shepherd@trihealth.com,FALSE,Active,,21377700,,,39.257067,-84.342276,10500 MONTGOMERY RD.,,,CINCINNATI,OH,45242,513-247-0438,FCY,Facility - LIMITED Category 2,PT ,Company,,4/1/19,3/31/21,No,,,,,,,,,,,,1002706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,Physical Therapy,,,PharmacyBoard,,,TRUE
Surgery,"MANDELL-BROWN PLASTIC SURGERY CENTER, LLC",10735 Montgomery Rd,,Cincinnati,OH,45242,Hamilton,(513) 984-4700,sharon@mandellbrown.com,MANDELL-BROWN,MARK,K.,MD,,FALSE,Active,,21757950,,,39.257806,-84.342226,10735 MONTGOMERY RD,,,CINCINNATI,OH,45242,(513) 984-4776,CL,Clinic - Category 3,AS ,Limited Liability Company,10/24/07,4/1/19,3/31/21,No,,,,,,,,,,,,1014968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,Ambulatory Surgical Facility (ASF/ASP),,,PharmacyBoard,,,TRUE
SubstanceHelp,ENLITE CLINICS,10901 Reed Hartman Hwy Ste 218, SUITE 218,Blue Ash,OH,45242,Hamilton,(614) 327-5661,drdavidgarcia@yahoo.com,GARCIA,DAVID,A.,DO,,FALSE,Active,,22794750,,,39.263662,-84.380214,999 POLARIS PARKWAY #102,,,COLUMBUS,OH,43240,(614) 880-9496,STP,Office-Based Opioid Treatment - Category 3,OBOT ,Limited Liability Company,10/25/17,4/1/19,3/31/21,No,,,,,,,,,,,,1008635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,Office-based Opioid Treatment Center,,,PharmacyBoard,,,TRUE
Hospice,"MIDWEST HOSPICE, INC",10925 REED HARTMAN HIGHWAY,,BLUE ASH,OH,45242,HAMILTON,(513)791-9378,gbarone@midwest-hospice.com,,,,,,FALSE,ACTIVE,,OHL41883,,,39.263843,-84.380202,,,,,,,(513) 791-1154,,,L31,,,,,,,OHL41883,0237HSP,SL-HOS,,,,,,,,2016768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,Hospice,,,OHAL,,,TRUE
HospitalsPsych,SUMMIT BEHAVIORAL HEALTHCARE,1101 Summit Rd,,Cincinnati,OH,45237,Hamilton,513-948-3796,lavonda.dallas@mha.ohio.gov,SPARKS-DALLAS,LAVONDA,JEAN,RPH PharmD,lavonda.dallas@mha.ohio.gov,FALSE,Active,,20036150,,,39.194061,-84.473838,1101 SUMMIT RD,,,CINCINNATI,OH,45237,513-948-0016,PMY,Pharmacy - Category 3,HS ,Government,12/15/61,4/1/19,3/31/21,No,,,,,,,,,,,,1024809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Hospital,,,PharmacyBoard,,,TRUE
NursingAssisted,LIFESPHERE,11100 SPRINGFIELD PIKE,,CINCINNATI,OH,45246,HAMILTON,(513)782-2788,rmarois@mkcommunities.org,,,,,,FALSE,ACTIVE,,OH00615,,,39.27605,-84.479932,,,,,,,(513) 782-8607,,,21,,,,,,,OH00615,1623N,SNF/NF,365350,339735,,145,,4/30/14,145,2014381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,Nursing Home (Certified and Licensed),,,OHAL,,,TRUE
Surgery,THE CHRIST HOSPITAL,11150 MONTGOMERY ROAD,,CINCINNATI,OH,45249,HAMILTON,(513)564-1945,jacquelyn.hancock@thechristhospital.com,,,,,,FALSE,ACTIVE,,OHL41915,,,39.266794,-84.331786,,,,,,,(513) 564-8598,,,L61,,,,,,,OHL41915,1137AS,SL-AS,,1485503,,3,3/14/16,3/14/16,0,2025224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,Ambulatory Surgical Facility (ASF/ASP),,,OHAL,,,TRUE
NursingAssisted,"TRILOGY HEALTHCARE OF HAMILTON, LLC",11230 PIPPIN ROAD,,CINCINNATI,OH,45231,HAMILTON,(513)851-0601,sharon.wilburn@triplecreekretirement.com,,,,,,FALSE,ACTIVE,,OHL41034,,,39.282197,-84.57171,,,,,,,(513) 851-0602,,,L12,,,,,,,OHL41034,2517R,SL-R,,,,38,8/20/08,6/6/19,0,2026377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,Residential Care Facility,,,OHAL,,,TRUE
MedicalFacility,The Cincinnati Eye Institute Foundation,1125 Bank St,,Cincinnati,OH,45214,Hamilton,(513) 569-3347,kbyrd@ceifoundation.org,Arar,Hisham,Hassan,,harar@cincinnatieye.com,FALSE,Active,,260000559,,,39.119502,-84.533721,1945 Cei Dr,,,Blue Ash,OH,45242-5664,(513) 878-2299,CL,Clinic - Category 2,CL ,Corporation,6/13/19,6/13/19,3/31/21,No,,,,,,,,,,,,1025315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,Clinic,,,PharmacyBoard,,,TRUE
Hospice,"CEDAR KNOLL, LLC",11275 SPRINGFIELD PIKE,,CINCINNATI,OH,45246,HAMILTON,(513)782-8249,swhisenant@villagehhh.org,,,,,,FALSE,ACTIVE,,OHL41498,,,39.279067,-84.483356,,,,,,,(513) 782-8306,,,L31,,,,,,,OHL41498,0197HSP,SL-HOS,,203022,,,2/10/11,,,2004052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,Hospice,,,OHAL,,,TRUE
NursingAssisted,"THE ASHFORD AT MT. WASHINGTON, LLC",1131 DELIQUIA DRIVE,,CINCINNATI,OH,45230,HAMILTON,(513)231-0008,info@theashfordofmtwashington.com,,,,,,FALSE,ACTIVE,,OHL41963,,,39.091475,-84.391831,,,,,,,(513) 231-8466,,,L12,,,,,,,OHL41963,2746R,SL-R,,,,135,12/20/16,7/25/17,0,2025189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,Residential Care Facility,,,OHAL,,,TRUE
Hospice,COMPASSUS OP OF OHIO LLC,"11311 CORNELLPARK DRIVE, SUITE 200",,BLUE ASH,OH,45242,HAMILTON,(513)619-3700,Amy.Scheels@Compassus.com,,,,,,FALSE,ACTIVE,,OH04041,,,39.273299,-84.372816,,,,,,,(888) 810-8182,,,161,,,,,,,OH04041,0158HSP,HOSPICE,361633,2734081,,,1/4/07,,,2006088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,Hospice,,,OHAL,,,TRUE
NursingAssisted,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",11320 SPRINGFIELD PIKE,,SPRINGDALE,OH,45246,HAMILTON,(513)772-7878,dcopeland1@brookdale.com,,,,,,FALSE,ACTIVE,,OHL01933,,,39.27984,-84.483575,,,,,,,(513) 772-7875,,,L12,,,,,,,OHL01933,2156R,SL-R,,,,60,9/10/97,1/28/02,0,2003264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,Residential Care Facility,,,OHAL,,,TRUE
MedicalFacility,THE LITTLE CLINIC OF OHIO LLC,11390 Montgomery Rd,,Cincinnati,OH,45249,Hamilton,(937) 657-1809,kniehaus@thelittleclinic.com,STEWART,BONNIE,KATHERINE,,bonniestew@gmail.com,FALSE,Active,,21949800,,,39.272591,-84.327132,2620 ELM HILL PIKE,,,NASHVILLE,TN,37214,,CL,Clinic - Category 2,CL ,Limited Liability Company,3/18/09,4/1/19,3/31/21,No,,,,,,,,,,,,1025552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,Clinic,,,PharmacyBoard,,,TRUE
MedicalFacility,"Forefront Dermatology, S.C.",1149 Stone Dr Ste 100,,Harrison,OH,45030,Hamilton,(920) 663-9008,credentialing@forefrontderm.com,DUBOIS,ANDREW,,MD,,FALSE,Active,,260000062,,,39.258041,-84.797468,801 York St,,,Manitowoc,WI,54220-4630,(513) 845-8121,CL,Clinic - Category 2,CL ,Corporation,6/14/18,4/1/19,3/31/21,No,,,,,,,,,,,,1009517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,Clinic,,,PharmacyBoard,,,TRUE
MedicalFacility,BETHESDA CARE QUEENSGATE,1150 W 8th St Ste 120, SUITE 120,Cincinnati,OH,45203,Hamilton,513-241-4136,carol_macejko@trihealth.com,LE,CHUC,,MD,,FALSE,Active,,20470950,,,39.104183,-84.534923,1150 W. 8TH ST., SUITE 120,,CINCINNATI,OH,45203,(513) 241-6510,CL,Clinic - Category 2,CL ,Company,9/4/86,4/1/19,3/31/21,No,,,,,,,,,,,,1002700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,Clinic,,,PharmacyBoard,,,TRUE
